Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2024-02-07,3.44466,3.44466,3.36703,3.36703,1403.6513762076
2024-02-08,3.44466,3.48347,3.35733,3.48347,2177.6177370974
2024-02-09,3.48347,3.48347,3.34763,3.45436,5932.0244650888
2024-02-12,3.45436,3.45436,3.37674,3.39614,2644.4709481268
2024-02-13,3.48347,3.48347,3.34763,3.44466,2543.4740062264
2024-02-14,3.44466,3.48347,3.34763,3.48347,2505.3425077538
2024-02-15,3.44466,3.44466,3.44466,3.44466,12.3669724776
2024-02-16,3.38644,3.38644,3.38644,3.38644,16.4892966368
2024-02-19,3.43496,3.43496,3.29911,3.43496,3763.6819573496
2024-02-20,3.43496,3.43496,3.43496,3.43496,12.3669724776
2024-02-21,3.43496,3.43496,3.29911,3.43496,1052.2232416358
2024-02-22,3.43496,3.43496,3.42525,3.42525,325.6636085768
2024-02-23,3.43496,3.44466,3.39614,3.44466,6105.1620797752
2024-02-26,3.45436,3.45436,3.45436,3.45436,12.3669724776
2024-02-27,3.45436,3.45436,3.45436,3.45436,2.0611620796
2024-02-28,3.45436,3.45436,3.36703,3.45436,4290.3088686874
2024-02-29,3.45436,3.45436,3.34763,3.34763,1824.128440446
2024-03-01,3.45436,3.45436,3.34763,3.38644,287.5321101042
2024-03-04,3.38644,3.38644,3.36703,3.38644,1053.2538226756
2024-03-05,3.38644,3.38644,3.29911,3.38644,3301.9816515192
2024-03-06,3.38644,3.39614,3.21178,3.39614,11479.642202332
2024-03-07,3.48347,3.74546,3.48347,3.68724,24167.12538331
2024-03-08,3.73576,3.96864,3.59991,3.96864,26199.431193796
2024-03-11,3.92012,3.92012,3.82309,3.90071,24035.211010216
2024-03-12,3.8619,3.88131,3.73576,3.8716,1769.5076453366
2024-03-13,3.84249,3.84249,3.73576,3.73576,1105.8134557054
2024-03-14,3.84249,3.84249,3.73576,3.84249,944.0122324568
2024-03-15,3.83279,3.84249,3.63872,3.64843,9792.5810401796
2024-03-18,3.84249,3.84249,3.73576,3.73576,98.9357798208
2024-03-19,3.73576,3.84249,3.62902,3.84249,1772.599388456
2024-03-20,3.84249,3.84249,3.52228,3.72605,5557.9235476414
2024-03-21,3.82309,3.82309,3.61932,3.72605,5481.6605506962
2024-03-22,3.60961,3.80368,3.59021,3.80368,1749.9266055804
2024-03-25,3.78427,3.78427,3.54169,3.74546,2168.3425077392
2024-03-26,3.74546,3.74546,3.51258,3.5708,1247.003058158
2024-03-27,3.5708,3.63872,3.24089,3.38644,17981.57798243
2024-03-28,3.38644,3.40585,3.36703,3.40585,1319.143730944
2024-04-02,3.39614,3.41555,3.2797,3.39614,5381.6941898356
2024-04-03,3.39614,3.39614,3.2603,3.39614,3279.3088686436
2024-04-04,3.39614,3.39614,3.32822,3.39614,345.244648333
2024-04-05,3.39614,3.39614,3.2797,3.29911,2605.3088686144
2024-04-08,3.29911,3.35733,3.2603,3.29911,4261.452599573
2024-04-09,3.29911,3.5805,3.2603,3.5805,1602.553516889
2024-04-10,3.35733,3.35733,3.29911,3.31852,6586.4434253618
2024-04-11,3.33792,3.33792,3.29911,3.29911,4114.0795108816
2024-04-12,3.54169,3.54169,3.20208,3.25059,14818.724771284
2024-04-15,3.27,3.48347,3.24089,3.42525,3992.4709481852
2024-04-16,3.41555,3.41555,3.20208,3.25059,8575.4648321758
2024-04-17,3.25059,3.38644,3.25059,3.38644,1073.8654434716
2024-04-18,3.27,3.39614,3.20208,3.39614,5925.84097885
2024-04-19,3.28941,3.28941,3.20208,3.2797,5878.4342510192
2024-04-22,3.2797,3.2797,3.15356,3.2797,9827.6207955328
2024-04-23,3.2797,3.2797,3.14386,3.20208,5545.5565751638
2024-04-24,3.20208,3.20208,3.10504,3.20208,7322.278287779
2024-04-25,3.2797,3.2797,3.16326,3.2797,52.5596330298
2024-04-26,3.2797,3.2797,3.18267,3.25059,1345.9388379788
2024-04-29,3.2797,3.2797,3.10504,3.21178,189.6269113232
2024-04-30,3.07593,3.23119,3.01772,3.12445,3885.290520046
2024-05-02,3.14386,3.14386,3.14386,3.14386,22.6727828756
2024-05-06,3.14386,3.24089,3.06623,3.24089,7528.394495739
2024-05-07,3.24089,3.2797,3.12445,3.27,3264.8807340864
2024-05-08,3.27,3.2797,3.15356,3.27,6892.5259941824
2024-05-09,3.27,3.27,3.21178,3.21178,56.681957189
2024-05-10,3.27,3.27,3.21178,3.2603,3045.366972609
2024-05-13,3.2603,3.2603,3.12445,3.23119,1983.868501615
2024-05-14,3.23119,3.23119,3.20208,3.23119,584.3394495666
2024-05-15,3.2603,3.2603,3.20208,3.25059,1030.5810398
2024-05-16,3.2603,3.2603,3.18267,3.2603,3154.6085628278
2024-05-17,3.2603,3.2603,3.18267,3.20208,5936.146789248
2024-05-20,3.18267,3.21178,3.18267,3.20208,1858.1376147594
2024-05-21,3.2603,3.2603,3.24089,3.2603,3252.5137616088
2024-05-22,3.2603,3.2603,3.2603,3.2603,1598.4311927298
2024-05-23,3.27,3.27,3.2603,3.27,31.9480122338
2024-05-24,3.2603,3.2603,3.2603,3.2603,89.6605504626
2024-05-27,3.2603,3.2603,3.19237,3.2603,460.6697247906
2024-05-28,3.27,3.27,3.21178,3.2603,41.223241592
2024-05-29,3.2603,3.2603,3.2603,3.2603,12.3669724776
2024-05-31,3.2603,3.2603,3.2603,3.2603,12.3669724776
2024-06-03,3.20208,3.20208,3.15356,3.16326,950.1957186956
2024-06-04,3.2603,3.2603,3.13415,3.2603,8191.0581043304
2024-06-05,3.2603,3.2603,3.19237,3.2603,613.195718681
2024-06-06,3.2603,3.2603,3.20208,3.20208,267.951070348
2024-06-07,3.2603,3.2603,3.19237,3.25059,270.0122324276
2024-06-10,3.2603,3.2603,3.23119,3.2603,569.9113150094
2024-06-11,3.20208,3.20208,3.15356,3.20208,1434.5688074016
2024-06-12,3.25059,3.25059,3.11475,3.25059,9077.3577985584
2024-06-13,3.13415,3.24089,3.12445,3.24089,1079.0183486706
2024-06-14,3.20208,3.20208,3.16326,3.20208,584.3394495666
2024-06-17,3.23119,3.23119,3.15356,3.15356,1657.1743119984
2024-06-18,3.21178,3.21178,3.19237,3.21178,934.7370030986
2024-06-19,3.21178,3.21178,3.20208,3.20208,143.2507645322
2024-06-20,3.21178,3.21178,3.21178,3.21178,12.3669724776
2024-06-21,3.21178,3.21178,3.20208,3.20208,665.7553517108
2024-06-24,3.21178,3.21178,3.20208,3.21178,376.162079527
2024-06-25,3.21178,3.21178,3.21178,3.21178,12.3669724776
2024-06-26,3.16326,3.22148,3.15356,3.22148,2356.9388380226
2024-06-27,3.22148,3.22148,3.22148,3.22148,2.0611620796
2024-06-28,3.24089,3.25059,3.22148,3.24089,1633.470948083
2024-07-01,3.24089,3.24089,3.22148,3.24089,484.373088706
2024-07-02,3.24089,3.25059,3.22148,3.25059,1891.116208033
2024-07-03,3.2603,3.2603,3.21178,3.21178,11.3363914378
2024-07-04,3.2603,3.2603,3.22148,3.2603,1008.9388379642
2024-07-05,3.2603,3.2603,3.23119,3.25059,198.9021406814
2024-07-08,3.2603,3.2603,3.24089,3.24089,474.067278308
2024-07-09,3.24089,3.24089,3.23119,3.24089,144.281345572
