Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2018-03-21,2292.74,2316.08,2290.18,2309.36
2018-03-22,2311.31,2317.38,2279.63,2285.76
2018-03-23,2272.32,2288.15,2259.78,2285.53
2018-03-26,2285.15,2285.15,2240.85,2240.85
2018-03-27,2248.11,2271.62,2243.08,2262.5
2018-03-28,2260.18,2260.18,2241.07,2249.23
2018-03-29,2251.61,2274.62,2251.61,2274.62
2018-03-30,2278.94,2281.54,2270.98,2270.98
2018-04-02,2271.91,2294.08,2256.64,2256.64
2018-04-03,2259.8,2264.07,2245.83,2263.85
2018-04-04,2264.74,2273.53,2248.48,2265.6
2018-04-05,2270.16,2297.69,2270.16,2296.25
2018-04-06,2286.35,2293.99,2274.91,2281.23
2018-04-09,2272.4,2272.4,2065.32,2090.88
2018-04-10,2090.73,2199.44,2083.3,2173.76
2018-04-11,2172.45,2231.26,2157.92,2192.15
2018-04-12,2206.94,2220.83,2173.6,2210.05
2018-04-13,2210.02,2219.1,2167.9,2175.16
2018-04-16,2156.28,2179.75,2141.17,2143.67
2018-04-17,2173.45,2191.19,2165.21,2191.19
2018-04-18,2193.73,2246.6,2191.67,2241.49
2018-04-19,2248.08,2265.92,2219.49,2230.55
2018-04-20,2231.08,2242.72,2222.81,2232.66
2018-04-23,2232.33,2250.99,2212.16,2250.99
2018-04-24,2260.17,2270.61,2245.57,2253.77
2018-04-25,2245.06,2253.5,2229.66,2253.5
2018-04-26,2255.66,2286.73,2253.92,2286.02
2018-04-27,2287.95,2302.54,2281.49,2301.49
2018-04-28,2300.85,2300.85,2288.23,2297.3
2018-04-30,2296.11,2322.38,2289.33,2307.02
2018-05-02,2304.28,2317.43,2298.52,2306.42
2018-05-03,2303.34,2313.85,2274.07,2274.07
2018-05-04,2278.9,2294.35,2278.9,2289.47
2018-05-07,2294.1,2313.73,2292.63,2297.12
2018-05-08,2292.78,2301.99,2277.17,2301.99
2018-05-10,2315.39,2322.45,2303.15,2312.92
2018-05-11,2317.6,2346.98,2317.53,2345.26
2018-05-14,2345.93,2358.59,2326.27,2357.62
2018-05-15,2353.22,2354.11,2330.59,2337.03
2018-05-16,2336.52,2350.49,2328.86,2338.39
2018-05-17,2342.22,2346.04,2323.51,2323.51
2018-05-18,2323.75,2338.94,2321.93,2326.94
2018-05-21,2328.42,2347.93,2328.42,2332.63
2018-05-22,2333.89,2336.77,2317.78,2326.87
2018-05-23,2317,2318.77,2294.98,2295.57
2018-05-24,2298.73,2310.08,2289.68,2294.01
2018-05-25,2297.91,2316.13,2296.91,2306.57
2018-05-28,2306.23,2314.48,2301.82,2311.28
2018-05-29,2314.11,2316.59,2285.41,2298
2018-05-30,2298.52,2307.82,2289.21,2297.6
2018-05-31,2303.34,2315.15,2289.65,2302.88
2018-06-01,2297.13,2311.95,2292.97,2295.34
2018-06-04,2299.65,2324.2,2299.65,2323.64
2018-06-05,2322.71,2329.03,2310.82,2318.23
2018-06-06,2319.33,2322.05,2302.7,2315.45
2018-06-07,2318.28,2326.44,2316.07,2316.07
2018-06-08,2313,2316.92,2267.92,2267.92
2018-06-09,2268.99,2284.13,2268.99,2281.51
2018-06-11,2283.64,2285.14,2260.4,2271.74
2018-06-13,2275.69,2283.73,2268.36,2270.73
2018-06-14,2268.94,2269.1,2247.96,2253.48
2018-06-15,2254.09,2261.74,2235.93,2237.53
2018-06-18,2234.53,2241.3,2216.21,2222.56
2018-06-19,2216.94,2228.84,2192.63,2221.42
2018-06-20,2226.49,2263.76,2226.49,2256.27
2018-06-21,2255.51,2268.93,2243.71,2245.94
2018-06-22,2250.99,2262.18,2236.44,2249.68
2018-06-25,2234.22,2255.69,2232.82,2236.65
2018-06-26,2238.35,2253.3,2229.47,2231.03
2018-06-27,2239.75,2265.33,2223.28,2253.6
2018-06-28,2254.46,2264.76,2246.92,2250.26
2018-06-29,2262.16,2295.95,2261.58,2295.95
2018-07-02,2294.1,2327.72,2287.85,2319.31
2018-07-03,2319.37,2320.41,2296.92,2301.65
2018-07-04,2301.68,2309.57,2299.45,2304.06
2018-07-05,2299.68,2346.86,2293.78,2346.86
2018-07-06,2342.62,2350.97,2319.94,2345.38
2018-07-09,2351.69,2375.83,2351.69,2373.17
2018-07-10,2368.28,2379.33,2359.16,2365.17
2018-07-11,2355.79,2355.79,2326.24,2336.15
2018-07-12,2332.23,2336.52,2307.95,2322.06
2018-07-13,2326.76,2346.43,2324.9,2346.43
2018-07-16,2343.02,2352.3,2321.33,2334.18
2018-07-17,2325.28,2325.28,2293.76,2310.92
2018-07-18,2294.22,2303.39,2284.45,2294.78
2018-07-19,2297.15,2297.15,2262.99,2269.45
2018-07-20,2269.97,2274.66,2239.77,2247.82
2018-07-23,2250.57,2273.13,2250.57,2261.25
2018-07-24,2264.38,2281.62,2263.36,2278.3
2018-07-25,2268.11,2285.22,2258.31,2282.84
2018-07-26,2287.75,2300.05,2283.01,2293.07
2018-07-27,2293.87,2298.07,2275.23,2292.72
2018-07-30,2288.29,2298.76,2276.68,2295.72
2018-07-31,2290.76,2321.11,2286.84,2321.11
2018-08-01,2317.83,2326.36,2307.99,2315.18
2018-08-02,2311.78,2321.78,2288.11,2295.15
2018-08-03,2294.37,2299.08,2277.3,2297.99
2018-08-06,2297.62,2310.96,2286.88,2299.88
2018-08-07,2303.47,2320.38,2301.21,2312.19
2018-08-08,2308.62,2310.65,2275.15,2293.01
2018-08-09,2282.02,2309.58,2257.51,2309.58
2018-08-10,2295.59,2308.46,2259.67,2275.05
2018-08-13,2264.6,2298.36,2255.75,2285.61
2018-08-14,2298.73,2305.88,2268.92,2282.88
2018-08-15,2281.4,2282.34,2246.45,2267.13
2018-08-16,2269.02,2273.44,2249.77,2261.09
2018-08-17,2261.69,2268.89,2247.45,2255.12
2018-08-20,2266.06,2279.52,2265.19,2272.49
2018-08-21,2274.36,2291.76,2259.81,2291.76
2018-08-22,2296.17,2306.1,2278.23,2297.06
2018-08-23,2293.98,2303.47,2258.11,2260.04
2018-08-24,2258.94,2281.74,2240.71,2279.76
2018-08-27,2281.87,2312.93,2281.87,2312.93
2018-08-28,2313.85,2323.45,2310.99,2316.28
2018-08-29,2316.73,2348.44,2316.66,2348.44
2018-08-30,2352.06,2359.58,2325.8,2330.92
2018-08-31,2328.52,2345.85,2310.78,2345.85
2018-09-03,2344.3,2353.09,2339.39,2346.08
2018-09-04,2348.65,2358.88,2332.34,2336.38
2018-09-05,2333.04,2341.37,2321.33,2321.33
2018-09-06,2320.08,2342.02,2320.08,2320.65
2018-09-07,2321.66,2330.84,2305.27,2321.82
2018-09-10,2322.67,2335.85,2320.04,2335.85
2018-09-11,2336.16,2345.65,2314.8,2335.19
2018-09-12,2339.77,2350,2328.28,2340.63
2018-09-13,2339.4,2373.61,2339.4,2357.32
2018-09-14,2359.06,2369.06,2345.51,2360.26
2018-09-17,2362.24,2373.76,2350.09,2373.75
2018-09-18,2374.09,2402.58,2372,2402.58
2018-09-19,2405.31,2416.53,2396.18,2404.42
2018-09-20,2405.36,2434.94,2400.89,2400.89
2018-09-21,2401.35,2426.8,2401,2426.8
2018-09-24,2426.41,2432.64,2417.45,2430.01
2018-09-25,2432.76,2444.65,2420.3,2444.22
2018-09-26,2445.35,2449.42,2421.45,2427.29
2018-09-27,2423.75,2474.57,2423.14,2474.57
2018-09-28,2467.95,2476.86,2446.53,2475.36
2018-10-01,2481.45,2493.82,2461.77,2472.22
2018-10-02,2475.65,2480.19,2445.51,2449.7
2018-10-03,2451.45,2501.78,2451.45,2493.91
2018-10-04,2492.54,2498.07,2459.02,2465.03
2018-10-05,2458.28,2466.31,2436.98,2450.9
2018-10-08,2449.95,2466.17,2436.49,2454.28
2018-10-09,2459.63,2478.87,2443.83,2443.83
2018-10-10,2445.78,2454.28,2411.06,2417.69
2018-10-11,2386.03,2388.63,2351.68,2366.47
2018-10-12,2371.68,2407.4,2371.68,2403.02
2018-10-15,2405.53,2414.16,2374.8,2389.05
2018-10-16,2387.35,2418.65,2377.81,2417.26
2018-10-17,2422.45,2433.5,2400.53,2411.42
2018-10-18,2408.97,2411.22,2377.37,2378.62
2018-10-19,2381.06,2381.83,2342.05,2344.79
2018-10-22,2347.29,2361,2306.26,2308.56
2018-10-23,2302.84,2321.46,2289.23,2305.58
2018-10-24,2311.28,2348.87,2307.96,2336.49
2018-10-25,2323.03,2336.68,2307.06,2331.59
2018-10-26,2328.82,2328.82,2275.58,2293.22
2018-10-29,2290.53,2321.77,2287.05,2317.06
2018-10-30,2311.54,2316.89,2283.13,2299.98
2018-10-31,2306.18,2352.71,2306.18,2352.71
2018-11-01,2352.94,2366.37,2333.09,2359.33
2018-11-02,2364.36,2385.95,2363.64,2377.95
2018-11-06,2381.38,2412.31,2381.38,2412.31
2018-11-07,2411.46,2445.34,2392.05,2445.34
2018-11-08,2446.23,2454.84,2430.84,2438.62
2018-11-09,2431.85,2431.85,2385.23,2403.47
2018-11-12,2407.97,2425.08,2391.57,2393.81
2018-11-13,2388.27,2398.95,2373.61,2374.94
2018-11-14,2368.89,2379.67,2346.68,2378.59
2018-11-15,2382.43,2396.93,2377.48,2381.45
2018-11-16,2384.76,2398.2,2365.2,2372.67
2018-11-19,2375.21,2391.72,2368.45,2373.78
2018-11-20,2371.71,2371.71,2323.95,2341.6
2018-11-21,2339.29,2362.28,2336.18,2357.97
2018-11-22,2358.14,2372.06,2348.04,2369.53
2018-11-23,2368.39,2368.39,2334,2342.97
2018-11-26,2344.38,2346.94,2284.3,2308.5
2018-11-27,2311.17,2345.01,2310.32,2338.71
2018-11-28,2341.11,2386.82,2341.11,2381.12
2018-11-29,2387.45,2410.49,2377.92,2398.56
2018-11-30,2394.54,2402.14,2378.74,2392.5
2018-12-03,2405.18,2446.15,2405.18,2441.19
2018-12-04,2440.63,2449.92,2426.71,2443.38
2018-12-05,2425.02,2445.55,2409.32,2445.55
2018-12-06,2438.79,2438.79,2391.63,2412.31
2018-12-07,2415.04,2440.03,2412.7,2431.29
2018-12-10,2426.4,2429.72,2396.69,2396.84
2018-12-11,2397.71,2408.07,2382.2,2394.26
2018-12-12,2392.84,2395.81,2366.76,2370.35
2018-12-13,2368.3,2379.18,2359.83,2378.5
2018-12-14,2376.87,2376.87,2351.62,2365.69
2018-12-17,2363.55,2379.07,2354.87,2359.13
2018-12-18,2353.75,2353.75,2321.57,2350.29
2018-12-19,2347.28,2360.36,2330.72,2358.58
2018-12-20,2348.79,2352.88,2317.57,2352.88
2018-12-21,2351.98,2351.98,2330.86,2347.17
2018-12-24,2345.98,2346.36,2315.43,2322.27
2018-12-25,2318.43,2318.43,2258.27,2290.86
2018-12-26,2291.98,2315.98,2291.98,2308.85
2018-12-27,2316.66,2340.63,2316.66,2327.81
2018-12-28,2329.96,2369.24,2329.96,2358.5
2018-12-29,2359.38,2370,2357.1,2369.33
2019-01-03,2370.56,2387.21,2350.41,2375.6
2019-01-04,2377.71,2406.5,2377.71,2406.5
2019-01-08,2400.96,2403.66,2375.01,2389.69
2019-01-09,2393.55,2414.13,2393.55,2414.13
2019-01-10,2413.27,2434.15,2398.16,2434.15
2019-01-11,2435.71,2448.17,2430.45,2444.45
2019-01-14,2438.35,2440.15,2418.65,2440.15
2019-01-15,2442.26,2457.35,2423.86,2439.55
2019-01-16,2440.34,2446.13,2426.8,2434.6
2019-01-17,2436.48,2447.64,2425.51,2447.64
2019-01-18,2454.19,2473.61,2451.65,2473.61
2019-01-21,2473.67,2481.88,2468.18,2468.25
2019-01-22,2466.35,2469.87,2454.19,2468.73
2019-01-23,2467.91,2493.06,2466.59,2491.49
2019-01-24,2490.05,2494.09,2470.3,2482.71
2019-01-25,2485.71,2498.23,2482.99,2498.23
2019-01-28,2499.19,2502.73,2467.5,2476.81
2019-01-29,2475.68,2501.69,2464.25,2498.35
2019-01-30,2497.09,2513.77,2492.52,2511.86
2019-01-31,2517.89,2536.28,2515.86,2521.1
2019-02-01,2520.08,2531.51,2512.76,2521.7
2019-02-04,2523.04,2537.47,2519.79,2523.52
2019-02-05,2524.35,2549.62,2523.78,2547.27
2019-02-06,2547.53,2551.97,2533.92,2539.73
2019-02-07,2537.41,2540.45,2506.6,2509.89
2019-02-08,2508.85,2511.21,2495,2502.82
2019-02-11,2503.88,2521.82,2503.76,2510.22
2019-02-12,2510.91,2535.66,2510.91,2533.32
2019-02-13,2534.57,2535.96,2483.81,2485.76
2019-02-14,2468.31,2475.5,2448.41,2460.82
2019-02-15,2465.02,2490.16,2465.02,2490.16
2019-02-18,2489.79,2494.43,2456.01,2472.41
2019-02-19,2471.17,2480.29,2450.17,2458.55
2019-02-20,2462.15,2487.82,2462.15,2487.82
2019-02-21,2488.44,2494.05,2462.92,2470.23
2019-02-22,2470.75,2490.67,2468.14,2488.63
2019-02-25,2491.54,2506.94,2481.73,2494.63
2019-02-26,2488.43,2494.02,2470.35,2494.02
2019-02-27,2495.52,2502.59,2479.44,2490.65
2019-02-28,2489.09,2490.57,2468.06,2485.27
2019-03-01,2487.44,2494.89,2476.35,2478.01
2019-03-04,2478.91,2483.27,2469.5,2473.79
2019-03-05,2472.19,2473.76,2458.07,2466.23
2019-03-06,2467.7,2497.08,2467.7,2494.04
2019-03-07,2491.83,2492.61,2473.31,2476.64
2019-03-11,2474.45,2474.54,2459.78,2465.94
2019-03-12,2469.6,2479.4,2461.26,2468.25
2019-03-13,2468.26,2470.61,2452.09,2470.61
2019-03-14,2469.38,2475.85,2454.74,2457.79
2019-03-15,2459.78,2476.73,2457.36,2476.73
2019-03-18,2477.03,2488.5,2467.45,2483.7
2019-03-19,2485.05,2497.18,2484.48,2493.28
2019-03-20,2493.37,2504.23,2484.27,2504.23
2019-03-21,2505.06,2514.72,2497.99,2507.81
2019-03-22,2507.96,2509.96,2486.01,2492.7
2019-03-25,2487.89,2499.41,2473.76,2497.59
2019-03-26,2498.6,2520.02,2492.36,2512.63
2019-03-27,2510.69,2514.48,2487.48,2487.48
2019-03-28,2487.7,2497.65,2482.82,2492.4
2019-03-29,2493.77,2509.65,2486.72,2497.1
2019-04-01,2498.73,2527.06,2498.73,2521.25
2019-04-02,2523.03,2532.34,2514.55,2527.77
2019-04-03,2530.9,2549.56,2530.9,2532.32
2019-04-04,2530.56,2538.36,2523.69,2535.5
2019-04-05,2535.5,2548.52,2534.78,2540.99
2019-04-08,2542.61,2560.07,2542.61,2560.07
2019-04-09,2563.85,2574.07,2556.37,2570.28
2019-04-10,2571.7,2591.69,2565.33,2578.58
2019-04-11,2578.37,2587.09,2551.45,2551.45
2019-04-12,2550.87,2569.84,2547,2559.72
2019-04-15,2564.48,2569.92,2539.74,2545.12
2019-04-16,2547.17,2567.06,2540.35,2559.84
2019-04-17,2563.47,2574.81,2560.04,2568.26
2019-04-18,2567.34,2567.34,2547.37,2560.8
2019-04-19,2561.11,2566.88,2560.73,2563.9
2019-04-22,2567.24,2585.76,2567.24,2584.74
2019-04-23,2586.06,2599.58,2576.82,2587.48
2019-04-24,2587.07,2587.24,2567.38,2579.05
2019-04-25,2578.52,2586.93,2558.75,2560.94
2019-04-26,2560.7,2563.72,2547.87,2563.72
2019-04-29,2564.09,2577.46,2556.71,2569.83
2019-04-30,2570.19,2570.33,2552.86,2559.32
2019-05-02,2558.81,2580.92,2557.69,2575.22
2019-05-03,2574.11,2587.09,2572.84,2580.95
2019-05-06,2569.28,2579.75,2552.34,2579.75
2019-05-07,2579.59,2583.18,2556.98,2565.1
2019-05-08,2563.66,2564.38,2544.43,2544.43
2019-05-10,2538.16,2540.33,2511.16,2514.87
2019-05-13,2512.23,2531.54,2506.47,2508.87
2019-05-14,2508.93,2566.92,2508.93,2562.33
2019-05-15,2569.33,2576.56,2549.17,2554.49
2019-05-16,2552.69,2590.46,2552.34,2581.11
2019-05-17,2576.45,2587.26,2569.1,2577.48
2019-05-20,2582.01,2588.39,2567.11,2571.65
2019-05-21,2575.15,2619.77,2572.36,2616.53
2019-05-22,2619.66,2645.7,2610.46,2638.71
2019-05-23,2634.19,2634.19,2615.7,2618.61
2019-05-24,2621.94,2642.4,2616.56,2619.24
2019-05-27,2620,2632.95,2617.63,2632.95
2019-05-28,2634.13,2640.81,2596.3,2609.78
2019-05-29,2607.11,2642.23,2600.79,2641.15
2019-05-30,2645,2665.28,2642.27,2659.52
2019-05-31,2655.76,2665.42,2639.19,2665.33
2019-06-03,2660.64,2743.81,2649.78,2729.93
2019-06-04,2726.06,2731.1,2690.13,2706.29
2019-06-05,2706.66,2713.82,2690.43,2701.84
2019-06-06,2701.55,2731.73,2700.3,2728.25
2019-06-07,2734.94,2743.11,2725.43,2729.61
2019-06-10,2734.16,2746.8,2725.65,2742.59
2019-06-11,2718.13,2759.57,2717.75,2751.75
2019-06-13,2750.42,2759.16,2734.4,2758.36
2019-06-14,2757.58,2772.06,2738.62,2739.28
2019-06-17,2737.97,2757.89,2728.61,2734.31
2019-06-18,2732.47,2761.69,2723.99,2761.69
2019-06-19,2763.07,2775.83,2751.58,2759.12
2019-06-20,2758.53,2788.19,2758.53,2780.2
2019-06-21,2777.54,2779.32,2750.54,2761.23
2019-06-24,2762.17,2772.37,2758.18,2762.65
2019-06-25,2761.39,2763.88,2738.34,2753.96
2019-06-26,2754.91,2778.25,2751.51,2775.14
2019-06-27,2774.75,2790.59,2765.61,2779.66
2019-06-28,2777.94,2786.66,2761.46,2765.85
2019-07-01,2777.08,2813.44,2777.08,2801.47
2019-07-02,2802.82,2810.02,2795.36,2809.81
2019-07-03,2810.1,2827.76,2799.6,2823.95
2019-07-04,2823.33,2842.78,2813.66,2842.78
2019-07-05,2842.97,2848.4,2827.96,2835.35
2019-07-08,2823.14,2823.67,2806.97,2822.55
2019-07-09,2821.89,2835.18,2816.79,2822.66
2019-07-10,2824.79,2833.18,2808.76,2822.75
2019-07-11,2825.2,2828.72,2779.41,2789.66
2019-07-12,2787.09,2788.7,2760.46,2777.58
2019-07-15,2783.45,2785.8,2755.43,2756.44
2019-07-16,2754.05,2757.35,2736.44,2755.88
2019-07-17,2715.67,2726.22,2704.28,2713.17
2019-07-18,2705.63,2714.55,2694.74,2702.59
2019-07-19,2710.44,2726.89,2700.54,2700.57
2019-07-22,2699.31,2705.07,2684.25,2684.25
2019-07-23,2686.98,2709.24,2683.39,2701.06
2019-07-24,2706.73,2708.5,2677.35,2682.91
2019-07-25,2679.38,2723.44,2665.21,2701.02
2019-07-26,2697.21,2733.32,2694.84,2715.68
2019-07-29,2715.74,2732.86,2714.44,2728.27
2019-07-30,2730.38,2735.21,2714.01,2734.68
2019-07-31,2737.8,2750.06,2723.54,2739.5
2019-08-01,2727.68,2737.91,2722.48,2729.42
2019-08-02,2707.65,2716.6,2673.97,2674.9
2019-08-05,2666.85,2676.61,2645.12,2649.16
2019-08-06,2654.34,2686.86,2654.11,2683.35
2019-08-07,2683.11,2696.53,2666.41,2674.98
2019-08-08,2693.17,2707.62,2693.17,2696.69
2019-08-09,2696.65,2700.95,2678.07,2679.71
2019-08-12,2687.12,2698.39,2682.05,2689.93
2019-08-13,2688.92,2697.53,2665.35,2680.12
2019-08-14,2684.63,2687.93,2630.82,2637.04
2019-08-15,2643.53,2651.23,2620.2,2625.58
2019-08-16,2636.29,2640.92,2615.2,2615.2
2019-08-19,2627.47,2653.31,2619.39,2648.09
2019-08-20,2651.1,2675.26,2647.4,2672.84
2019-08-21,2677.55,2679.46,2665.1,2673.95
2019-08-22,2673.77,2680.65,2662.31,2675.13
2019-08-23,2679.23,2682.95,2656.97,2660.74
2019-08-26,2651.09,2672.19,2640.05,2658.24
2019-08-27,2660.76,2663.14,2636.99,2659.35
2019-08-28,2658.17,2677.99,2649.54,2677.31
2019-08-29,2679.8,2714.37,2679.11,2714.25
2019-08-30,2716.69,2740.04,2715.3,2740.04
2019-09-02,2742.3,2774.77,2735.11,2773.01
2019-09-03,2770.86,2781.06,2757.85,2774.2
2019-09-04,2787.37,2799.84,2784.96,2793.36
2019-09-05,2800.97,2815.84,2796.19,2807.06
2019-09-06,2805.95,2805.95,2780.76,2797.55
2019-09-09,2802.49,2810.91,2777.63,2786.63
2019-09-10,2784.8,2791.02,2767.29,2787.52
2019-09-11,2788.19,2819.75,2782.95,2817.05
2019-09-12,2816.06,2816.06,2789.14,2799.99
2019-09-13,2795.85,2801.28,2777.23,2791.74
2019-09-16,2810.78,2834.32,2803.89,2834.32
2019-09-17,2832.42,2847.01,2807.33,2820.86
2019-09-18,2818.93,2824.25,2809.67,2818.6
2019-09-19,2815.49,2816.57,2794.17,2794.77
2019-09-20,2794.82,2796.41,2777.83,2796.41
2019-09-23,2793.03,2793.03,2769.6,2785.46
2019-09-24,2785.57,2789.61,2749.86,2754.53
2019-09-25,2749.13,2760.29,2739.11,2760.29
2019-09-26,2755.6,2779.78,2754.84,2772.7
2019-09-27,2772.58,2777.19,2757.98,2757.98
2019-09-30,2759.94,2764.31,2744.47,2747.18
2019-10-01,2749.83,2781.33,2748.51,2758.83
2019-10-02,2756.86,2758.5,2716.73,2719.39
2019-10-03,2719.65,2722.74,2696.58,2707.47
2019-10-04,2707.9,2717.7,2687,2692.55
2019-10-07,2695.54,2721.16,2686.15,2719.22
2019-10-08,2720.17,2724.62,2700.46,2707.89
2019-10-09,2704.71,2724.83,2702.56,2713.02
2019-10-10,2709.39,2725.49,2695.82,2721.51
2019-10-11,2723.36,2733.78,2703.85,2708.07
2019-10-14,2710.56,2716.15,2692.59,2697.46
2019-10-15,2696.6,2715.26,2691.29,2715.26
2019-10-16,2714.81,2745,2714.81,2744.35
2019-10-17,2744.43,2754.7,2738.92,2748.64
2019-10-18,2747.8,2758.73,2742.24,2752.91
2019-10-21,2759.79,2767.76,2751.95,2761.15
2019-10-22,2766.21,2802.23,2762.49,2802.23
2019-10-23,2797.44,2821.89,2789.75,2821.58
2019-10-24,2822.37,2877.05,2822.1,2877.05
2019-10-25,2876.1,2879.42,2848.4,2873.41
2019-10-28,2879.37,2899.65,2850.32,2856.91
2019-10-29,2858.42,2886.48,2845.28,2886.48
2019-10-30,2882.07,2913.48,2874.17,2911.15
2019-10-31,2917.22,2936.26,2884.3,2893.98
2019-11-01,2895.47,2930.4,2886.59,2930.4
2019-11-05,2950.78,2965.48,2936.48,2949.55
2019-11-06,2949.7,2980.84,2935.15,2980.84
2019-11-07,2977.67,3009.11,2966.2,3008.54
2019-11-08,2997.85,2997.85,2958.55,2973.19
2019-11-11,2965.84,2972.39,2953.23,2961.46
2019-11-12,2963.7,2983.48,2944,2951.16
2019-11-13,2942.4,2942.4,2924.23,2933.89
2019-11-14,2938.6,2948.98,2902.91,2922.45
2019-11-15,2925.31,2938.15,2914.05,2934.82
2019-11-18,2947.39,2956.59,2914.25,2924.48
2019-11-19,2928.1,2942.49,2923.1,2941.69
2019-11-20,2935.64,2948.89,2914.95,2936.47
2019-11-21,2940.78,2947.57,2930.68,2942.6
2019-11-22,2939.36,2968.47,2935.21,2947.68
2019-11-25,2953.11,2959.76,2945.33,2955.32
2019-11-26,2954.84,2963.92,2922.89,2930.62
2019-11-27,2932.25,2945.6,2922.48,2929.05
2019-11-28,2926.3,2931.48,2911.8,2927.57
2019-11-29,2925.76,2936.24,2911.56,2935.37
2019-12-02,2937.69,2958.84,2920.33,2921.18
2019-12-03,2917.46,2922.81,2882.65,2883.48
2019-12-04,2887.39,2909.11,2875.5,2900.66
2019-12-05,2903.5,2909.59,2882.8,2899.29
2019-12-06,2900.78,2928.76,2897.56,2928.76
2019-12-09,2932.08,2947.68,2926.1,2945.03
2019-12-10,2943.03,2948.94,2920.93,2932.4
2019-12-11,2932.43,2959.12,2932.43,2954.4
2019-12-12,2966.24,2996.82,2965.1,2982.86
2019-12-13,2990.92,3000.1,2984.92,2996.63
2019-12-16,3001.42,3012.21,2994.44,3006.16
2019-12-17,3012.49,3019.95,3005.61,3013.29
2019-12-18,3011.37,3023.92,3004.27,3023.92
2019-12-19,3012.29,3027.88,2998.05,3008.39
2019-12-20,3015.64,3021.05,3004.21,3015.93
2019-12-23,3009.89,3033.81,3009.07,3033.81
2019-12-24,3035.86,3039.92,3025.92,3030.59
2019-12-25,3032.41,3036.81,3024.89,3030.84
2019-12-26,3025.58,3034.63,3021.62,3031.67
2019-12-27,3029.12,3054.03,3029.12,3050.47
2019-12-30,3051.41,3060.2,3042.34,3045.87
2020-01-03,3059.2,3086.09,3057.36,3076.37
2020-01-06,3075.55,3079.42,3059.47,3078.87
2020-01-08,3076.63,3112.01,3071.88,3110.06
2020-01-09,3105.21,3124.6,3094.85,3118.08
2020-01-10,3117.24,3130.92,3101.21,3123.66
2020-01-13,3124.96,3151.69,3117.03,3151.69
2020-01-14,3155.63,3166.07,3126,3129.77
2020-01-15,3128.38,3148.29,3106.41,3132.63
2020-01-16,3137.52,3163.2,3137.52,3157.23
2020-01-17,3161.25,3198.32,3159.23,3196.88
2020-01-20,3205.64,3226.89,3204.32,3219.92
